0.336361 0.662338 0.335375 0 0.05
0.335375 0.663337 0.334389 0 0.05
0.334389 0.664336 0.333403 0 0.05
0.333403 0.665335 0.332417 0 0.05
0.332417 0.666334 0.331431 0 0.05
0.331431 0.667333 0.330444 0 0.05
0.330444 0.668332 0.329458 0 0.05
0.329458 0.669331 0.328471 0 0.05
0.328471 0.67033 0.327484 0 0.05
0.327484 0.671329 0.326498 0 0.05
0.326498 0.672328 0.325511 0 0.05
0.325511 0.673327 0.324523 0 0.05
0.324523 0.674326 0.323536 0 0.05
0.323536 0.675325 0.322549 0 0.05
0.322549 0.676324 0.321561 0 0.05
0.321561 0.677323 0.320574 0 0.05
0.320574 0.678322 0.319586 0 0.05
0.319586 0.679321 0.318598 0 0.05
0.318598 0.68032 0.31761 0 0.05
0.31761 0.681319 0.316622 0 0.05
0.316622 0.682318 0.315634 0 0.05
0.315634 0.683317 0.314646 0 0.05
0.314646 0.684316 0.313658 0 0.05
0.313658 0.685315 0.312669 0 0.05
0.312669 0.686314 0.311681 0 0.05
0.311681 0.687313 0.310692 0 0.05
0.310692 0.688312 0.309703 0 0.05
0.309703 0.689311 0.308714 0 0.05
0.308714 0.69031 0.307725 0 0.05
0.307725 0.691309 0.306736 0 0.05
0.306736 0.692308 0.305747 0 0.05
0.305747 0.693307 0.304758 0 0.05
0.304758 0.694306 0.303769 0 0.05
0.303769 0.695305 0.302779 0 0.05
0.302779 0.696304 0.30179 0 0.05
0.30179 0.697303 0.3008 0 0.05
0.3008 0.698302 0.29981 0 0.05
0.29981 0.699301 0.29882 0 0.05
0.29882 0.7003 0.297831 0 0.05
0.297831 0.701299 0.296841 0 0.05
0.296841 0.702298 0.29585 0 0.05
0.29585 0.703297 0.29486 0 0.05
0.29486 0.704296 0.29387 0 0.05
0.29387 0.705295 0.29288 0 0.05
0.29288 0.706294 0.291889 0 0.05
0.291889 0.707293 0.290899 0 0.05
0.290899 0.708292 0.289908 0 0.05
0.289908 0.709291 0.288917 0 0.05
0.288917 0.71029 0.287927 0 0.05
0.287927 0.711289 0.286936 0 0.05
0.286936 0.712288 0.285945 0 0.05
0.285945 0.713287 0.284954 0 0.05
0.284954 0.714286 0.283963 0 0.05
0.283963 0.715285 0.282972 0 0.05
0.282972 0.716284 0.28198 0 0.05
0.28198 0.717283 0.280989 0 0.05
0.280989 0.718282 0.279998 0 0.05
0.279998 0.719281 0.279006 0 0.05
0.279006 0.72028 0.278015 0 0.05
0.278015 0.721279 0.277023 0 0.05
0.277023 0.722278 0.276031 0 0.05
0.276031 0.723277 0.27504 0 0.05
0.27504 0.724276 0.274048 0 0.05
0.274048 0.725275 0.273056 0 0.05
0.273056 0.726274 0.272064 0 0.05
0.272064 0.727273 0.271072 0 0.05
0.271072 0.728272 0.27008 0 0.05
0.27008 0.729271 0.269087 0 0.05
0.269087 0.73027 0.268095 0 0.05
0.268095 0.731269 0.267103 0 0.05
0.267103 0.732268 0.266111 0 0.05
0.266111 0.733267 0.265118 0 0.05
0.265118 0.734266 0.264126 0 0.05
0.264126 0.735265 0.263133 0 0.05
0.263133 0.736264 0.26214 0 0.05
0.26214 0.737263 0.261148 0 0.05
0.261148 0.738262 0.260155 0 0.05
0.260155 0.739261 0.259162 0 0.05
0.259162 0.74026 0.258169 0 0.05
0.258169 0.741259 0.257176 0 0.05
0.257176 0.742258 0.256183 0 0.05
0.256183 0.743257 0.25519 0 0.05
0.25519 0.744256 0.254197 0 0.05
0.254197 0.745255 0.253204 0 0.05
0.253204 0.746254 0.252211 0 0.05
0.252211 0.747253 0.251217 0 0.05
0.251217 0.748252 0.250224 0 0.05
0.250224 0.749251 0.249231 0 0.05
0.249231 0.75025 0.248237 0 0.05
0.248237 0.751249 0.247244 0 0.05
0.247244 0.752248 0.24625 0 0.05
0.24625 0.753247 0.245256 0 0.05
0.245256 0.754246 0.244263 0 0.05
0.244263 0.755245 0.243269 0 0.05
0.243269 0.756244 0.242275 0 0.05
0.242275 0.757243 0.241281 0 0.05
0.241281 0.758242 0.240287 0 0.05
0.240287 0.759241 0.239294 0 0.05
0.239294 0.76024 0.2383 0 0.05
0.2383 0.761239 0.237305 0 0.05
0.237305 0.762238 0.236311 0 0.05
0.236311 0.763237 0.235317 0 0.05
0.235317 0.764236 0.234323 0 0.05
0.234323 0.765235 0.233329 0 0.05
0.233329 0.766234 0.232335 0 0.05
0.232335 0.767233 0.23134 0 0.05
0.23134 0.768232 0.230346 0 0.05
0.230346 0.769231 0.229352 0 0.05
0.229352 0.77023 0.228357 0 0.05
0.228357 0.771229 0.227363 0 0.05
0.227363 0.772228 0.226368 0 0.05
0.226368 0.773227 0.225373 0 0.05
0.225373 0.774226 0.224379 0 0.05
0.224379 0.775225 0.223384 0 0.05
0.223384 0.776224 0.222389 0 0.05
0.222389 0.777223 0.221395 0 0.05
0.221395 0.778222 0.2204 0 0.05
0.2204 0.779221 0.219405 0 0.05
0.219405 0.78022 0.21841 0 0.05
0.21841 0.781219 0.217415 0 0.05
0.217415 0.782218 0.21642 0 0.05
0.21642 0.783217 0.215425 0 0.05
0.215425 0.784216 0.21443 0 0.05
0.21443 0.785215 0.213435 0 0.05
0.213435 0.786214 0.21244 0 0.05
0.21244 0.787213 0.211445 0 0.05
0.211445 0.788212 0.21045 0 0.05
0.21045 0.789211 0.209454 0 0.05
0.209454 0.79021 0.208459 0 0.05
0.208459 0.791209 0.207464 0 0.05
0.207464 0.792208 0.206468 0 0.05
0.206468 0.793207 0.205473 0 0.05
0.205473 0.794206 0.204478 0 0.05
0.204478 0.795205 0.203482 0 0.05
0.203482 0.796204 0.202487 0 0.05
0.202487 0.797203 0.201491 0 0.05
0.201491 0.798202 0.200496 0 0.05
0.200496 0.799201 0.1995 0 0.05
0.1995 0.8002 0.198504 0 0.05
0.198504 0.801199 0.197509 0 0.05
0.197509 0.802198 0.196513 0 0.05
0.196513 0.803197 0.195517 0 0.05
0.195517 0.804196 0.194522 0 0.05
0.194522 0.805195 0.193526 0 0.05
0.193526 0.806194 0.19253 0 0.05
0.19253 0.807193 0.191534 0 0.05
0.191534 0.808192 0.190538 0 0.05
0.190538 0.809191 0.189542 0 0.05
0.189542 0.81019 0.188546 0 0.05
0.188546 0.811189 0.187551 0 0.05
0.187551 0.812188 0.186555 0 0.05
0.186555 0.813187 0.185559 0 0.05
0.185559 0.814186 0.184562 0 0.05
0.184562 0.815185 0.183566 0 0.05
0.183566 0.816184 0.18257 0 0.05
0.18257 0.817183 0.181574 0 0.05
0.181574 0.818182 0.180578 0 0.05
0.180578 0.819181 0.179582 0 0.05
0.179582 0.82018 0.178586 0 0.05
0.178586 0.821179 0.177589 0 0.05
0.177589 0.822178 0.176593 0 0.05
0.176593 0.823177 0.175597 0 0.05
0.175597 0.824176 0.1746 0 0.05
0.1746 0.825175 0.173604 0 0.05
0.173604 0.826174 0.172608 0 0.05
0.172608 0.827173 0.171611 0 0.05
0.171611 0.828172 0.170615 0 0.05
0.170615 0.829171 0.169618 0 0.05
0.169618 0.83017 0.168622 0 0.05
0.168622 0.831169 0.167625 0 0.05
0.167625 0.832168 0.166629 0 0.05
0.166629 0.833167 0.165632 0 0.05
0.165632 0.834166 0.164636 0 0.05
0.164636 0.835165 0.163639 0 0.05
0.163639 0.836164 0.162642 0 0.05
0.162642 0.837163 0.161646 0 0.05
0.161646 0.838162 0.160649 0 0.05
0.160649 0.839161 0.159652 0 0.05
0.159652 0.84016 0.158656 0 0.05
0.158656 0.841159 0.157659 0 0.05
0.157659 0.842158 0.156662 0 0.05
0.156662 0.843157 0.155665 0 0.05
0.155665 0.844156 0.154669 0 0.05
0.154669 0.845155 0.153672 0 0.05
0.153672 0.846154 0.152675 0 0.05
0.152675 0.847153 0.151678 0 0.05
0.151678 0.848152 0.150681 0 0.05
0.150681 0.849151 0.149684 0 0.05
0.149684 0.85015 0.148687 0 0.05
0.148687 0.851149 0.14769 0 0.05
0.14769 0.852148 0.146693 0 0.05
0.146693 0.853147 0.145697 0 0.05
0.145697 0.854146 0.1447 0 0.05
0.1447 0.855145 0.143702 0 0.05
0.143702 0.856144 0.142705 0 0.05
0.142705 0.857143 0.141708 0 0.05
0.141708 0.858142 0.140711 0 0.05
0.140711 0.859141 0.139714 0 0.05
0.139714 0.86014 0.138717 0 0.05
0.138717 0.861139 0.13772 0 0.05
0.13772 0.862138 0.136723 0 0.05
0.136723 0.863137 0.135726 0 0.05
0.135726 0.864136 0.134728 0 0.05
0.134728 0.865135 0.133731 0 0.05
0.133731 0.866134 0.132734 0 0.05
0.132734 0.867133 0.131737 0 0.05
0.131737 0.868132 0.130739 0 0.05
0.130739 0.869131 0.129742 0 0.05
0.129742 0.87013 0.128745 0 0.05
0.128745 0.871129 0.127748 0 0.05
0.127748 0.872128 0.12675 0 0.05
0.12675 0.873127 0.125753 0 0.05
0.125753 0.874126 0.124756 0 0.05
0.124756 0.875125 0.123758 0 0.05
0.123758 0.876124 0.122761 0 0.05
0.122761 0.877123 0.121763 0 0.05
0.121763 0.878122 0.120766 0 0.05
0.120766 0.879121 0.119769 0 0.05
0.119769 0.88012 0.118771 0 0.05
0.118771 0.881119 0.117774 0 0.05
0.117774 0.882118 0.116776 0 0.05
0.116776 0.883117 0.115779 0 0.05
0.115779 0.884116 0.114781 0 0.05
0.114781 0.885115 0.113784 0 0.05
0.113784 0.886114 0.112786 0 0.05
0.112786 0.887113 0.111789 0 0.05
0.111789 0.888112 0.110791 0 0.05
0.110791 0.889111 0.109793 0 0.05
0.109793 0.89011 0.108796 0 0.05
0.108796 0.891109 0.107798 0 0.05
0.107798 0.892108 0.106801 0 0.05
0.106801 0.893107 0.105803 0 0.05
0.105803 0.894106 0.104805 0 0.05
0.104805 0.895105 0.103808 0 0.05
0.103808 0.896104 0.10281 0 0.05
0.10281 0.897103 0.101812 0 0.05
0.101812 0.898102 0.100815 0 0.05
0.100815 0.899101 0.0998168 0 0.05
0.0998168 0.9001 0.0988191 0 0.05
0.0988191 0.901099 0.0978214 0 0.05
0.0978214 0.902098 0.0968236 0 0.05
0.0968236 0.903097 0.0958259 0 0.05
0.0958259 0.904096 0.0948281 0 0.05
0.0948281 0.905095 0.0938303 0 0.05
0.0938303 0.906094 0.0928325 0 0.05
0.0928325 0.907093 0.0918347 0 0.05
0.0918347 0.908092 0.0908369 0 0.05
0.0908369 0.909091 0.0898391 0 0.05
0.0898391 0.91009 0.0888413 0 0.05
0.0888413 0.911089 0.0878434 0 0.05
0.0878434 0.912088 0.0868455 0 0.05
0.0868455 0.913087 0.0858477 0 0.05
0.0858477 0.914086 0.0848498 0 0.05
0.0848498 0.915085 0.0838519 0 0.05
0.0838519 0.916084 0.082854 0 0.05
0.082854 0.917083 0.0818561 0 0.05
0.0818561 0.918082 0.0808582 0 0.05
0.0808582 0.919081 0.0798602 0 0.05
0.0798602 0.92008 0.0788623 0 0.05
0.0788623 0.921079 0.0778643 0 0.05
0.0778643 0.922078 0.0768664 0 0.05
0.0768664 0.923077 0.0758684 0 0.05
0.0758684 0.924076 0.0748704 0 0.05
0.0748704 0.925075 0.0738724 0 0.05
0.0738724 0.926074 0.0728744 0 0.05
0.0728744 0.927073 0.0718764 0 0.05
0.0718764 0.928072 0.0708784 0 0.05
0.0708784 0.929071 0.0698804 0 0.05
0.0698804 0.93007 0.0688823 0 0.05
0.0688823 0.931069 0.0678843 0 0.05
0.0678843 0.932068 0.0668862 0 0.05
0.0668862 0.933067 0.0658881 0 0.05
0.0658881 0.934066 0.0648901 0 0.05
0.0648901 0.935065 0.063892 0 0.05
0.063892 0.936064 0.0628939 0 0.05
0.0628939 0.937063 0.0618958 0 0.05
0.0618958 0.938062 0.0608977 0 0.05
0.0608977 0.939061 0.0598996 0 0.05
0.0598996 0.94006 0.0589014 0 0.05
0.0589014 0.941059 0.0579033 0 0.05
0.0579033 0.942058 0.0569052 0 0.05
0.0569052 0.943057 0.055907 0 0.05
0.055907 0.944056 0.0549089 0 0.05
0.0549089 0.945055 0.0539107 0 0.05
0.0539107 0.946054 0.0529125 0 0.05
0.0529125 0.947053 0.0519143 0 0.05
0.0519143 0.948052 0.0509161 0 0.05
0.0509161 0.949051 0.049918 0 0.05
0.049918 0.95005 0.0489197 0 0.05
0.0489197 0.951049 0.0479215 0 0.05
0.0479215 0.952048 0.0469233 0 0.05
0.0469233 0.953047 0.0459251 0 0.05
0.0459251 0.954046 0.0449269 0 0.05
0.0449269 0.955045 0.0439286 0 0.05
0.0439286 0.956044 0.0429304 0 0.05
0.0429304 0.957043 0.0419321 0 0.05
0.0419321 0.958042 0.0409339 0 0.05
0.0409339 0.959041 0.0399356 0 0.05
0.0399356 0.96004 0.0389373 0 0.05
0.0389373 0.961039 0.037939 0 0.05
0.037939 0.962038 0.0369407 0 0.05
0.0369407 0.963037 0.0359425 0 0.05
0.0359425 0.964036 0.0349442 0 0.05
0.0349442 0.965035 0.0339458 0 0.05
0.0339458 0.966034 0.0329475 0 0.05
0.0329475 0.967033 0.0319492 0 0.05
0.0319492 0.968032 0.0309509 0 0.05
0.0309509 0.969031 0.0299526 0 0.05
0.0299526 0.97003 0.0289542 0 0.05
0.0289542 0.971029 0.0279559 0 0.05
0.0279559 0.972028 0.0269575 0 0.05
0.0269575 0.973027 0.0259592 0 0.05
0.0259592 0.974026 0.0249608 0 0.05
0.0249608 0.975025 0.0239624 0 0.05
0.0239624 0.976024 0.0229641 0 0.05
0.0229641 0.977023 0.0219657 0 0.05
0.0219657 0.978022 0.0209673 0 0.05
0.0209673 0.979021 0.0199689 0 0.05
0.0199689 0.98002 0.0189705 0 0.05
0.0189705 0.981019 0.0179721 0 0.05
0.0179721 0.982018 0.0169737 0 0.05
0.0169737 0.983017 0.0159753 0 0.05
0.0159753 0.984016 0.0149769 0 0.05
0.0149769 0.985015 0.0139784 0 0.05
0.0139784 0.986014 0.01298 0 0.05
0.01298 0.987013 0.0119816 0 0.05
0.0119816 0.988012 0.0109831 0 0.05
0.0109831 0.989011 0.0099847 0 0.05
0.0099847 0.99001 0.00898626 0 0.05
0.00898626 0.991009 0.0079878 0 0.05
0.0079878 0.992008 0.00698934 0 0.05
0.00698934 0.993007 0.00599088 0 0.05
0.00599088 0.994006 0.00499241 0 0.05
0.00499241 0.995005 0.00399394 0 0.05
0.00399394 0.996004 0.00299546 0 0.05
0.00299546 0.997003 0.00199698 0 0.05
0.00199698 0.998002 0.000998492 0 0.05
0.000998492 0.999001 0 0 0.05
0 1 6.23713e-319 0 0.05
